phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_nb_transits,rv_template_teff,rv_template_logg,rv_template_fe_h,phot_variable_flag,l,b,ecl_lon,ecl_lat,priam_flags,teff_val,teff_percentile_lower,teff_percentile_upper,a_g_val,a_g_percentile_lower,a_g_percentile_upper,e_bp_min_rp_val,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper,flame_flags,radius_val,radius_percentile_lower,radius_percentile_upper,lum_val,lum_percentile_lower,lum_percentile_upper
207.7506299,2870.994,11.249429,29,270628.5378,391.7719925,690.7807,11.770454,29,461600.5368,454.2543551,1016.1719,10.601254,1.2276437,1,1.1692,0.52102566,0.6481743,-44.97824209,0.402329211,13,4750,4.5,0,NOT_AVAILABLE,131.7350731,53.14872482,142.4556394,55.30999106,100002,4979.6025,4907.115,5312.9727,,,,,,,200111,10.914075,9.587406,11.238899,65.98531,61.361732,70.608894
24.24913567,7465.493,12.543979,31,90910.3078,103.0404765,882.27765,12.954855,31,129111.5406,118.9650101,1085.29,11.984508,1.2153771,0,0.9703474,0.41087627,0.55947113,-46.05354091,1.719514715,15,5500,4.5,0,NOT_AVAILABLE,131.670223,53.12611261,142.4528299,55.35496033,100001,5365.5,5342,5393,0.114,0.025,0.2361,0.056,0.012,0.1071,200111,0.82729554,0.81887996,0.8345903,0.51104236,0.5053338,0.51675093
27.3586374,5428.551,12.75892,29,85590.65523,69.2678084,1235.6484,13.020322,30,91994.27869,69.00469924,1333.1597,12.352518,1.1957152,0,0.66780376,0.26140213,0.40640163,-24.82253191,3.578568195,6,6000,3.5,0,NOT_AVAILABLE,131.9535307,52.97404108,142.0766513,55.27556932,100001,6371.9697,6318,6508.75,,,,,,,200111,1.8540928,1.7769847,1.8859042,5.1056666,4.9057508,5.3055825
800.7358705,2350.9897,10.001515,22,1075911.231,1363.375558,789.1525,10.271947,22,1147494.331,2088.591207,549.4107,9.612544,1.1810783,0,0.65940285,0.27043152,0.38897133,-31.71731696,0.912842999,5,6500,4.5,0,NOT_AVAILABLE,131.5619652,52.97718079,142.2754657,55.48255865,100001,6279.55,6199.1333,6449.3,0.056,0,0.1648,0.0285,0,0.0765,200111,1.3241642,1.2553756,1.3587416,2.456362,2.4331543,2.4795697
48.63248083,2651.0273,12.912514,32,49688.84224,64.96520289,764.8532,13.610741,33,113529.5766,107.7784109,1053.361,12.124147,1.2659849,1,1.4865932,0.6982269,0.7883663,-19.14196161,1.007299267,9,4500,3,0,NOT_AVAILABLE,131.7666773,52.89977514,142.0530165,55.40979676,100002,4468,4337.447,4688.5,0.3017,0.039,0.4806,0.1377,0.0457,0.2577,200111,0.64790297,0.5883943,0.6874925,0.15071875,0.14974463,0.15169287
644.7797016,5942.2563,9.229959,33,1853184.342,2686.580221,689.793,9.681592,34,2776594.944,4761.171098,583.1748,8.653139,1.2083634,0,1.0284529,0.45163345,0.5768194,-44.10620858,0.474885984,6,5500,4.5,0,NOT_AVAILABLE,132.0109809,52.84975422,141.8549628,55.30224265,100001,5159.5,5082,5554.6665,,,,,,,200111,3.2204375,2.778524,3.3194091,6.621478,6.5634108,6.6795454
496.7066991,441.56363,12.335632,36,106943.7214,844.2326847,126.67564,12.7785,36,206911.0855,2257.323383,91.66214,11.472461,1.4309863,0,1.3060389,0.44286728,0.8631716,-16.27404851,4.455208641,4,4000,3,0,NOT_AVAILABLE,132.2168095,52.6247062,141.403333,55.29393262,102001,4751.1226,4332.0376,5036.69,,,,,,,200111,0.6840656,0.60869503,0.8228218,0.2148202,0.20626137,0.22337905
45.6100877,6601.41,11.991622,34,164502.7539,171.828125,957.36804,12.310955,33,198152.291,125.7395873,1575.8943,11.519423,1.2044703,0,0.7915325,0.31933308,0.47219944,-24.89399326,1.419878,16,5500,3.5,0,NOT_AVAILABLE,132.2354667,52.62009275,141.3871224,55.28591013,100001,5891.25,5832.5,6158.5,0.672,0.4223,0.8731,0.335,0.2096,0.417,200111,1.5691389,1.4359074,1.6009096,2.6720667,2.6218417,2.7222917
91.38823531,2136.6028,12.46183,31,113059.6888,353.7962412,319.56158,12.718119,31,136570.3917,497.3517435,274.59518,11.923529,1.2784473,0,0.79459,0.25628853,0.53830147,-9.566840601,2.424582113,9,5500,3.5,0,NOT_AVAILABLE,132.0669619,52.65052219,141.516262,55.36327772,100001,5841.5,5454.72,6583.25,0.236,0.0453,0.5081,0.1223,0.026,0.2461,200111,1.1685922,0.9200915,1.3401912,1.4325776,1.4046108,1.4605445
243.8583211,2022.9144,11.455578,21,270246.4029,456.761376,591.6577,11.771988,20,323178.4215,337.3103027,958.1042,10.988314,1.2029585,0,0.78367424,0.31641006,0.46726418,-16.56320684,1.383064375,9,6000,3.5,0,NOT_AVAILABLE,132.1476947,52.50320095,141.2459953,55.38624851,100001,5874,5834,5936,1.794,1.4459,2.102,0.8872,0.7073,1.0576,200111,4.9704423,4.867154,5.038834,26.498453,24.904129,28.092777
24.79401305,7841.2695,12.466533,34,91677.05809,97.401668,941.2268,12.945737,34,145740.9838,86.29611435,1688.8475,11.852965,1.2211823,1,1.0927715,0.47920418,0.61356735,16.72367764,0.579043769,12,5000,3,0,NOT_AVAILABLE,132.1930851,52.41733471,141.0890475,55.4001224,100002,5003.8,4945.24,5161.8604,,,,,,,200111,2.5142667,2.362646,2.574165,3.5704017,3.479138,3.6616654
