solution_id,source_id,global_ranking,reference_time,frequency,frequency_error,geom_model_reference_level,geom_model_reference_level_error,geom_model_gaussian1_phase,geom_model_gaussian1_phase_error,geom_model_gaussian1_sigma,geom_model_gaussian1_sigma_error,geom_model_gaussian1_depth,geom_model_gaussian1_depth_error,geom_model_gaussian2_phase,geom_model_gaussian2_phase_error,geom_model_gaussian2_sigma,geom_model_gaussian2_sigma_error,geom_model_gaussian2_depth,geom_model_gaussian2_depth_error,geom_model_cosine_half_period_amplitude,geom_model_cosine_half_period_amplitude_error,geom_model_cosine_half_period_phase,geom_model_cosine_half_period_phase_error,model_type,num_model_parameters,reduced_chi2,derived_primary_ecl_phase,derived_primary_ecl_phase_error,derived_primary_ecl_duration,derived_primary_ecl_duration_error,derived_primary_ecl_depth,derived_primary_ecl_depth_error,derived_secondary_ecl_phase,derived_secondary_ecl_phase_error,derived_secondary_ecl_duration,derived_secondary_ecl_duration_error,derived_secondary_ecl_depth,derived_secondary_ecl_depth_error
3.75317E+17,2.02741E+18,0.5062162,2198.729178,1.500393681,2.29E-05,19.743902,0.010254595,0.32772526,0.004438221,0.064646326,0.00688791,0.47449923,0.039186507,0.8336417,0.005712131,0.06501131,0.008781011,0.17795396,0.013824857,null,null,null,null,TWOGAUSSIANS,8,2.3725152,0.32772526,0.004438221,0.36201942,0.038572297,0.47421482,0.039347567,0.8336417,0.005712131,0.36406332,0.049173664,0.17766957,0.013786893
3.75317E+17,2.02741E+18,0.61086285,2244.349757,1.177758826,4.47E-06,15.515648,0.008790822,0.2708126,0.002144072,0.11220678,0.004903202,0.23800467,0.008250212,0.7543553,0.001307103,0.10492142,0.003895983,0.23148349,0.008122064,null,null,null,null,TWOGAUSSIANS,8,13.488444,0.27082258,0.002144072,0.4,0,0.21027975,0.004128678,0.7543553,0.001307103,0.4,0,0.2037797,0.003850197
3.75317E+17,2.02741E+18,0.5895803,2252.339152,0.238617927,5.31E-06,18.469765,0.004212807,0.25534976,0.011198115,0.03214261,0.008324516,0.15999815,0.025666116,0.74647355,7.15E-04,0.027941883,8.13E-04,1.454053,0.12867674,0.023318565,0.006350553,0.74647355,7.15E-04,TWOGAUSSIANS_WITH_ELLIPSOIDAL_ON_ECLIPSE2,9,3.3473275,0.74647355,7.15E-04,0.15647453,0.004550372,1.5006901,0.1310125,0.25513977,0.010913145,0.1799986,0.04661729,0.20649372,0.025606968
3.75317E+17,2.02741E+18,0.55485064,2230.80051,2.79308534,8.90E-06,16.03559,0.005651898,0.24804384,0.003637664,0.0849532,0.004051829,0.29247838,0.008538352,0.75398153,0.002622916,0.0875313,0.003775496,0.31745124,0.010042419,null,null,null,null,TWOGAUSSIANS,8,41.519688,0.75398153,0.002622916,0.4,0,0.3091945,0.010333076,0.24804384,0.003637664,0.4,0,0.28422168,0.008023779
3.75317E+17,2.02741E+18,0.45510814,2226.369992,2.535707239,1.87E-05,19.203136,0.006552527,0.24171966,0.004853652,0.06643575,0.006297877,0.18905129,0.020322334,0.7358248,7.34E-04,0.00813339,0.001079891,0.12148281,0.01914117,0.022030953,0.010254187,0.24171966,0.004853652,TWOGAUSSIANS_WITH_ELLIPSOIDAL_ON_ECLIPSE1,9,5.4278984,0.24171966,0.004853652,0.37204018,0.035268113,0.23296404,0.016165443,0.73583484,7.34E-04,0.045546986,0.00604739,0.16533525,0.013931393
3.75317E+17,2.02741E+18,0.55929935,2222.555574,1.535726663,4.54E-06,17.520164,0.009488328,0.23626514,0.079727255,0.028732097,0.1259714,0.02650249,0.021584475,0.51315486,0.001503012,0.040976383,0.001527801,0.4135244,0.016137797,null,null,null,null,TWOGAUSSIANS,8,10.075071,0.51315486,0.001503012,0.22946773,0.008555685,0.4135244,0.016155364,0.23626514,0.079727255,0.16089974,0.56959224,0.02650249,0.021584509
3.75317E+17,2.02742E+18,0.5720748,2228.611927,0.423430648,1.19E-05,17.306215,0.001398111,0.66843957,0.006313983,0.014304609,0.006491697,0.017362185,0.006312738,0.86205137,7.55E-04,0.018773828,0.001064012,0.29157946,0.008208604,null,null,null,null,TWOGAUSSIANS,8,3.2562752,0.86205137,7.55E-04,0.10513344,0.005958468,0.29157946,0.008208604,0.66843957,0.006313983,0.08010581,0.0363535,0.017362185,0.006312738
3.75317E+17,2.02742E+18,0.50028706,2184.275385,0.564464477,6.46E-06,17.041508,0.001169563,0.32215124,0.027099425,0.03468648,0.014492234,0.008580699,0.002599947,0.8064768,0.001077231,0.015159214,0.001150012,0.09521427,0.007028596,null,null,null,null,TWOGAUSSIANS,8,2.5243664,0.8064768,0.001077231,0.0848916,0.006440067,0.09521427,0.007028596,0.32215124,0.027099425,0.19424428,0.081156515,0.008580699,0.002599947
3.75317E+17,2.02742E+18,0.45524803,2229.251537,1.353482058,2.15E-05,19.293276,0.005398334,0.23096052,0.005934089,0.057108518,0.005976675,0.15416226,0.015335963,0.7219643,0.007790131,0.0705295,0.008539257,0.1601625,0.015708761,null,null,null,null,TWOGAUSSIANS,8,2.6303024,0.7219643,0.007790131,0.3949652,0.042953625,0.16005221,0.015718468,0.23096052,0.005934089,0.3198077,0.033469375,0.15405197,0.015346314
3.75317E+17,2.02742E+18,0.63274676,2250.074158,0.292844153,4.18E-06,18.946287,0.00312494,0.20136747,7.63E-04,0.03037388,0.001862099,0.13872123,0.004259275,0.70737165,6.37E-04,0.027142838,4.62E-04,1.318708,0.021760866,null,null,null,null,TWOGAUSSIANS,8,1.8225584,0.70737165,6.37E-04,0.15199989,0.002586059,1.318708,0.021760866,0.20136747,7.63E-04,0.17009373,0.010427755,0.13872123,0.004259275
3.75317E+17,2.02742E+18,0.4705009,2190.757471,0.174916847,2.22E-05,19.507809,0.011701944,0.39132628,0.061031412,0.10666673,0.032906424,0.0475745,0.034480643,0.8021694,0.009885668,0.031030783,0.003697614,1.0356013,0.27675447,null,null,null,null,TWOGAUSSIANS,8,3.7734652,0.8021694,0.009885668,0.1737724,0.020706637,1.035614,0.27674136,0.39132628,0.061031412,0.4,0,0.047558635,0.03449668
3.75317E+17,2.02742E+18,0.56821847,2195.861567,0.819694461,5.25E-06,18.733927,0.009335278,0.2593274,9.64E-04,0.037972033,0.002217467,0.44521812,0.02090939,0.7587506,0.001401774,0.039710592,0.003060042,0.47947055,0.044860188,0.040801413,0.010148514,0.2593274,9.64E-04,TWOGAUSSIANS_WITH_ELLIPSOIDAL_ON_ECLIPSE1,9,2.521882,0.75876063,0.001374337,0.22237931,0.017136235,0.56107223,0.04973828,0.2593274,9.64E-04,0.21264337,0.012417816,0.52682084,0.021001177
3.75317E+17,2.02742E+18,0.6603887,2209.215945,2.561797675,2.49E-06,17.138672,0.004330922,0.2768501,0.001052824,0.04372301,0.002404959,0.29965913,0.010997829,0.777108,9.48E-04,0.045272432,0.001295849,0.27987674,0.010125293,0.118368626,0.005961882,0.2768501,0.001052824,TWOGAUSSIANS_WITH_ELLIPSOIDAL_ON_ECLIPSE1,9,4.803986,0.2768501,0.001052824,0.24484886,0.013467768,0.536396,0.010782853,0.777108,9.41E-04,0.2535256,0.007256755,0.516613,0.004071844
3.75317E+17,2.02742E+18,0.5070643,2183.113973,0.418020911,1.70E-05,19.342415,0.003583296,0.22917959,0.001971979,0.026900683,0.002395484,0.45339367,0.044602316,0.7357516,0.002632647,0.027494501,0.003685237,0.47186762,0.2634495,null,null,null,null,TWOGAUSSIANS,8,1.5869572,0.7357516,0.002632647,0.15396921,0.020637328,0.47186762,0.2634495,0.22917959,0.001971979,0.15064383,0.013414712,0.45339367,0.044602316
3.75317E+17,2.02742E+18,0.5404247,2239.3114,0.349539975,5.48E-06,16.428343,0.001412221,0.25928536,0.004339113,0.029939478,0.003278298,0.05232243,0.005935387,0.76135135,0.003724055,0.03146032,0.002512921,0.114102386,0.011895624,0.013252876,0.002086485,0.25928536,0.004339113,TWOGAUSSIANS_WITH_ELLIPSOIDAL_ON_ECLIPSE1,9,4.174736,0.76135135,0.003722668,0.17617777,0.01407236,0.14060362,0.011212031,0.25928536,0.004339113,0.16766109,0.018358469,0.078828126,0.005165514
3.75317E+17,2.02742E+18,0.6070097,2212.882796,1.386597123,1.14E-05,18.631878,0.015436262,0.2556681,0.002888719,0.047187146,0.004834582,0.57763636,0.042644206,0.75537187,0.001753373,0.051455464,0.004355579,0.30440274,0.033999998,0.08511012,0.018854236,0.2556681,0.002888719,TWOGAUSSIANS_WITH_ELLIPSOIDAL_ON_ECLIPSE1,9,2.1688046,0.2556681,0.002888719,0.264248,0.027073657,0.7478537,0.04471561,0.75540185,0.001567426,0.2881506,0.02439124,0.4746195,0.012335801
