parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,radial_velocity,radial_velocity_error
0.082849774,0.061858028,-0.72871145,0.095922947,-2.053346453,0.099745232,-28.86948596,0.11411553
0.082852174,0.051043327,-4.680219052,0.088986309,-6.928376406,0.094522652,-31.63522201,1.137552105
0.082854205,0.025626922,-1.621706678,0.049553742,-4.525431888,0.0543589,-229.6346728,0.483418377
0.082857921,0.02416514,-2.030869194,0.041389266,-2.875087216,0.044575591,-50.68200762,2.064107092
0.082867144,0.018952331,-0.2517014,0.041710542,-1.619463691,0.041832629,-106.8405418,1.576482255
0.082867351,0.036529262,-1.344414322,0.050152332,-2.393023636,0.058695566,-91.25191484,5.754608918
0.082867797,0.01582216,-1.857660072,0.024051734,-1.320228381,0.024372799,-70.05450642,0.878725268
0.082871037,0.048500005,-1.968654444,0.054562582,-4.367676233,0.055487738,-66.67917556,18.1166378
0.082873357,0.031934562,-1.855714125,0.052240294,-4.089185794,0.04958642,-29.11753407,1.008199236
0.082875742,0.015371282,-5.001145365,0.026300272,1.743025987,0.023606024,-268.8938992,1.890836214
0.082877689,0.048003766,-2.356169456,0.096134533,-2.268543196,0.095804212,-78.33349376,0.628629082
0.082884583,0.090166109,-3.083843766,0.183577017,-2.504744502,0.153398742,-68.1541902,2.226310066
0.082888629,0.015791395,-2.180798057,0.023901533,-1.546824812,0.027087676,-61.43250005,1.557780396
0.082901334,0.027246622,-2.129836525,0.048067194,-3.858290739,0.043221814,-94.03705315,0.328445299
0.082901694,0.038292146,-1.707696204,0.057920703,-1.241527023,0.049016124,-68.62728628,2.862264536
0.082905676,0.025571299,-2.876249514,0.031695255,-5.027001784,0.030827174,3.159890274,0.83752047
0.082906397,0.018423128,-1.953028159,0.02805683,-1.359814881,0.027807237,-118.1570787,1.467389564
0.082907328,0.012681027,-0.606068072,0.022084139,-4.173750598,0.02255037,-163.2728909,2.621646337
0.082907672,0.023987934,-2.739287677,0.037425778,-5.823088081,0.036992185,-63.57375714,0.685867418
0.082909615,0.059046933,-3.162398205,0.08931312,-5.781200644,0.101598935,-32.92940001,2.087273128
0.082912827,0.054401397,-4.143868659,0.080266876,-6.794963047,0.103781612,-118.8223495,1.107893418
0.082914039,0.024756528,-3.161327036,0.038819162,-5.90302806,0.044699438,-67.52928449,3.538294244
0.082914858,0.030706931,-3.578211723,0.036944845,-6.789111351,0.036986737,-103.6651761,0.545172465
0.082917414,0.06174193,5.538666176,0.102085017,2.342309933,0.097506446,-132.9959285,2.08501684
