ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,radial_velocity,radial_velocity_error
301.2270705,13.3021246,0.001237587,0.025054473,0.049395833,-2.259978619,0.031385548,-4.999908991,0.024122797,-55.36674828,1.506447378
297.9992942,49.42989338,0.001243125,0.017324282,0.0717562,-1.747363912,0.041191965,-2.387720725,0.035460178,-141.6017378,1.024009961
294.4916107,25.53746017,0.001244259,0.052359268,0.023763865,-1.868380865,0.074086763,-3.652215065,0.082511078,32.04650131,0.740070599
335.9570779,52.28915814,0.001245695,0.19267151,0.006465384,-6.001523133,0.341112224,2.495553833,0.288621045,-77.30933995,2.04992529
292.9725461,25.48273439,0.001245765,0.042046357,0.029628368,-3.203473581,0.059420995,-6.699484339,0.0683734,6.933087758,3.473769151
299.5039642,34.58820244,0.001266878,0.404252335,0.003133879,-2.450107105,0.691528662,-4.834009699,0.77196882,14.06026571,1.653502352
346.1522482,56.2491608,0.001280109,0.030049645,0.04259979,-0.553032318,0.045267912,-1.428330041,0.045166702,-45.45871542,0.734506288
295.95404,25.31439022,0.001280499,0.054238526,0.023608668,-1.683642662,0.080289433,-3.403227743,0.079475027,-5.542672202,0.538398736
286.5961795,53.15112581,0.00128765,0.022867387,0.05630944,-0.407039671,0.045447143,0.255234975,0.043629652,-216.0754454,3.691244826
295.2509202,28.63184519,0.001288689,0.044028481,0.029269436,-2.629745853,0.067242722,-5.152093329,0.068663326,-63.50425987,0.68560666
286.0871845,27.64778404,0.001312424,0.023375341,0.056145642,-2.322754213,0.032321262,-2.17926437,0.039286994,6.304484473,0.699424632
293.9612652,34.26947739,0.001312648,0.037445489,0.035054903,-2.040366742,0.062812069,-3.504758486,0.05969273,-75.23038119,7.035323495
294.5933015,25.33285464,0.001316314,0.059348166,0.022179522,-1.825209694,0.09904039,-3.712577241,0.088605123,-107.2931848,18.89151157
303.9187708,27.21033004,0.001345363,0.068693667,0.019584963,-4.775154151,0.099430549,-6.839596372,0.099565772,-34.28660581,2.060174405
296.6813765,34.42052805,0.001363978,0.038977058,0.034994386,-2.028967581,0.058541937,-4.166178616,0.060464506,-114.2671526,3.141343968
328.0501839,56.29343101,0.001368257,0.046801487,0.029235326,-3.143782715,0.089762337,-2.448240951,0.061477006,-66.03011078,0.486662129
291.7327392,23.53244451,0.001368829,0.071032453,0.019270467,-1.715139318,0.099811928,-4.392246783,0.141244491,13.23612972,0.516166184
317.7366867,46.69255943,0.001375283,0.076469189,0.017984794,-1.676491518,0.14933103,-2.258841514,0.119660024,-84.85778602,2.000368424
354.4110474,62.92261,0.001381381,0.087266847,0.01582939,-2.573517184,0.122570048,0.735139416,0.129790712,-72.44935392,0.954099133
295.071556,28.51814554,0.001381518,0.042011337,0.0328844,-3.46343267,0.064152228,-5.938673366,0.070416048,-29.06108719,9.420739463
212.9763829,68.14698093,0.001424788,0.019671587,0.07242873,-1.709236616,0.038677285,-1.165135018,0.031962571,-244.6526165,2.0168635
296.6616989,29.84625044,0.001479801,0.047123425,0.03140265,-3.579856675,0.072337671,-5.206584877,0.083930036,-25.5509362,1.682197621
308.8405343,45.49682273,0.001482218,0.498755415,0.002971833,-7.068191853,0.918896749,-1.484277879,0.869336497,-17.38720839,12.56964926
291.9118711,20.0823772,0.001486606,0.055595166,0.026739841,-1.963069154,0.064634204,-2.067948409,0.084255783,-164.4141947,0.484338573
325.2856451,52.83412853,0.001489197,0.322477568,0.004617987,1.166582252,0.595746386,-4.386266314,0.583240957,-2.705234129,3.641031461
291.2385996,27.90483612,0.001490322,0.027127546,0.05493758,-1.968530654,0.041327292,-3.555360366,0.043663712,-120.0652483,3.921707523
300.1480324,46.90904118,0.001506035,0.027165931,0.05543839,-1.646615532,0.04661033,-2.123982549,0.048159011,-107.8032446,1.450041997
298.6306475,35.78377402,0.001512832,0.081849559,0.018483084,-2.112035479,0.134206882,-3.412446781,0.131738678,-19.93301632,1.241344135
296.9172903,32.82509268,0.001533953,0.051637926,0.029705929,-2.29069542,0.07912949,-4.923100134,0.081696736,-151.8014251,0.748991423
296.1516338,33.74790658,0.001539054,0.043738856,0.035187338,-2.217169316,0.067263633,-4.260494009,0.071976744,-36.53853218,0.343751362
315.5200621,43.06510453,0.001549248,0.058528707,0.02646989,-2.193037977,0.102402313,-4.07592878,0.113401353,-75.60012298,2.802646941
292.2971961,31.25669484,0.001552632,0.038476894,0.040352322,-2.668882629,0.058711761,-4.332828858,0.064762714,7.341590112,1.257172699
303.1309837,34.71091266,0.001575617,0.067954636,0.023186313,-1.762609892,0.102478586,-3.902744237,0.121443499,-4.968632626,3.010522902
316.4339372,47.65857108,0.001579281,0.055979221,0.02821191,-1.394307619,0.110225996,-4.586925014,0.121482232,-81.08322848,1.173421355
